number,title,state,created_at,closed_at,merged_at,author,labels,additions,deletions,changed_files,draft,base_branch,head_branch,url,merge_time_hours,status,has_data_contract
254,Fix: Removed minor version annotations,open,2025-08-05 15:24:58+00:00,,,giselle-garnett,['enhancement'],160,102,72,False,main,contract/Remove-minor-version-annotation,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/254,,open,False
252,Update stale.yml,open,2025-08-05 13:59:33+00:00,,,giselle-garnett,[],2,2,1,True,main,giselle-garnett-patch-1,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/252,,open,False
243,doc : Update README for ts SDK,open,2025-07-28 14:57:10+00:00,,,aviv-hamzaeljaoui,['enhancement'],13,0,1,True,main,aviv-hamzaeljaoui-patch-1,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/243,,open,False
236,feat: add NCP P3 Data contracts,open,2025-07-24 09:01:39+00:00,,,sl-nicolasmoteley,"['data-contract', 'waiting for workshop']",1029,11,23,False,main,feat/MCM-2127,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/236,,open,False
232,Feat/adjust,open,2025-07-23 08:10:59+00:00,,,aviv-nsamardzic,['data-contract'],116,97,5,False,main,feat/adjust,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/232,,open,False
216,Update conversation and users schema,open,2025-07-16 15:26:21+00:00,,,sl-davidbernuau,['data-contract'],92,6,9,True,main,feat/NewFieldsForAnalyticsMessaging,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/216,,open,False
191,feat: Payment Contracts - updated V1,open,2025-07-02 12:42:37+00:00,,,aviv-augustinjuricic,['data-contract'],173,110,6,True,main,feat/payment-contract,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/191,,open,False
171,Feat/properbird at de,open,2025-06-27 09:44:50+00:00,,,aviv-imijatovic,['data-contract'],1496,404,48,False,main,feat/properbird-at-de,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/171,,open,False
134,feat: support RootModel in avro conversion,open,2025-06-02 14:04:36+00:00,,,aviv-julienjehannet,"['bug', 'do_not_merge']",90,27,7,True,main,fix/rootmodel-support,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/134,,open,False
253,Update stale.yml,closed,2025-08-05 14:02:51+00:00,2025-08-05 15:02:06+00:00,2025-08-05 15:02:06+00:00,PascaleBrun,['enhancement'],5,6,1,False,main,PascaleBrun-patch-1,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/253,0.9875,merged,False
251,refactor: use a fabric pattern design to migrate Ingestion policy,closed,2025-08-04 16:44:42+00:00,2025-08-05 11:28:11+00:00,2025-08-05 11:28:11+00:00,aviv-julienjehannet,['enhancement'],178,86,9,False,main,fix/fabric-pattern-design,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/251,18.724722222222223,merged,False
250,feat: enable more pre-commit checks,closed,2025-08-04 13:58:04+00:00,2025-08-04 14:41:03+00:00,2025-08-04 14:41:03+00:00,aviv-julienjehannet,[],10,11,4,False,main,feat/branch-name,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/250,0.7163888888888889,merged,False
249,fix: forget OVERWRITE_PARTITION write mode (will be supported systema…,closed,2025-08-04 11:20:16+00:00,2025-08-04 12:14:51+00:00,2025-08-04 12:14:51+00:00,aviv-julienjehannet,[],2,27,2,False,main,fix/partitioning_overwrite,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/249,0.9097222222222222,merged,False
248,chore(clsa): ACVNLP-2213 Add active_favorites field in CLASSIFIED_ACTION contract,closed,2025-08-01 15:50:07+00:00,2025-08-05 09:40:00+00:00,2025-08-05 09:40:00+00:00,sl-victorceron,['data-contract'],10,3,2,False,main,feat/acvnlp-2213_add_active_favorites,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/248,89.8313888888889,merged,False
247,feat(call tracking): add contract for CLSA,closed,2025-07-31 10:42:14+00:00,2025-08-05 14:31:34+00:00,2025-08-05 14:31:34+00:00,aviv-imijatovic,['data-contract'],46,0,3,False,main,feat/call_tracking_clsa,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/247,123.82222222222222,merged,False
246,feat: update classified_lead_v2 contract to consider call tracking data,closed,2025-07-31 09:34:46+00:00,2025-08-05 12:11:34+00:00,2025-08-05 12:11:34+00:00,sl-lydiachibane,['data-contract'],39,4,3,False,main,feat/ACVNLP-2177,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/246,122.61333333333333,merged,False
245,feat: Add LVN contract and German contracts for CT,closed,2025-07-30 09:40:30+00:00,2025-08-05 07:54:25+00:00,2025-08-05 07:54:25+00:00,aviv-piotrberestka,['data-contract'],163,1,7,False,main,contract/CLTR/TITAN-1391,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/245,142.23194444444445,merged,False
244,feat(contracts): add agency visibility contract draft,closed,2025-07-30 07:22:59+00:00,2025-07-31 14:41:04+00:00,2025-07-31 14:41:04+00:00,nherbin-ma,['data-contract'],147,0,3,False,main,branding-products-contract,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/244,31.301388888888887,merged,False
242,fix: reuse main package config to set the sdk version,closed,2025-07-25 13:09:53+00:00,2025-07-25 13:13:41+00:00,2025-07-25 13:13:41+00:00,aviv-julienjehannet,[],1,0,1,False,main,fix/python-sdk,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/242,0.06333333333333334,merged,False
241,bump: ts sdk,closed,2025-07-25 12:45:30+00:00,2025-07-25 12:50:43+00:00,2025-07-25 12:50:43+00:00,aviv-julienjehannet,[],3,3,2,False,main,fix/ts-sdk,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/241,0.08694444444444445,merged,False
240,Fix/publish,closed,2025-07-25 12:22:28+00:00,2025-07-25 12:23:14+00:00,2025-07-25 12:23:14+00:00,aviv-julienjehannet,[],1,1,1,False,main,fix/publish,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/240,0.012777777777777779,merged,False
239,ci: publish sdk again,closed,2025-07-25 11:56:56+00:00,2025-07-25 12:12:01+00:00,2025-07-25 12:12:01+00:00,aviv-julienjehannet,[],23,27,1,False,main,fix/publish,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/239,0.2513888888888889,merged,False
238,feat(policy): ingestion mode annotation in data contracts (closes: #DATAPLT-175),closed,2025-07-25 09:47:21+00:00,2025-07-25 10:34:39+00:00,2025-07-25 10:34:39+00:00,aviv-julienjehannet,[],404,33,13,False,main,feat/ingestion,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/238,0.7883333333333333,merged,False
237,"feat(ssot-classified): align contracts schema for raw , raw_prased and last_state",closed,2025-07-24 17:00:41+00:00,2025-08-05 11:14:54+00:00,2025-08-05 11:14:54+00:00,florianhyseni-aviv,['data-contract'],886,359,14,False,main,feat/DSGPAC/contracts-update,https://github.com/axel-springer-kugawana/aviv_data_collection_contracts/pull/237,282.2369444444444,merged,False
